4222;192.168.112.230;port;22;username;tvanwyk1;;
1283;192.168.112.112;port;22;username;tvanwyk1;;
1187;192.168.112.17;port;22;username;tvanwyk1;;
2955;192.168.112.224;port;22;username;tvanwyk1;;
1281;192.168.113.10;port;22;username;tvanwyk1;;
2853;192.168.112.69;port;22;username;tvanwyk1;;
100;192.168.112.1;port;22;username;tvanwyk1;;
999;192.168.113.254;port;22;username;tvanwyk1;;
2935;192.168.113.146;port;22;username;tvanwyk1;;
1151;192.168.112.163;port;22;username;tvanwyk1;;
1164;192.168.112.13;port;22;username;tvanwyk1;;
2807;192.168.113.44;port;22;username;tvanwyk1;;
1270;192.168.112.109;port;22;username;tvanwyk1;;
1165;192.168.112.247;port;22;username;tvanwyk1;;
2798;192.168.112.62;port;22;username;tvanwyk1;;
100;192.168.112.2;port;22;username;tvanwyk1;;
1091;192.168.112.236;port;22;username;tvanwyk1;;
1221;192.168.112.253;port;22;username;tvanwyk1;;
3250;192.168.113.59;port;22;username;tvanwyk1;;
1087;192.168.112.233;port;22;username;tvanwyk1;;
1034;192.168.112.154;port;22;username;tvanwyk1;;
8055;192.168.113.150;port;22;username;tvanwyk1;;
1097;192.168.112.92;port;22;username;tvanwyk1;;
1273;192.168.112.25;port;22;username;tvanwyk1;;
1068;192.168.113.77;port;22;username;tvanwyk1;;
2765;192.168.113.40;port;22;username;tvanwyk1;;
2868;192.168.112.72;port;22;username;tvanwyk1;;
2768;192.168.112.134;port;22;username;tvanwyk1;;
1313;192.168.112.46;port;22;username;tvanwyk1;;
1223;192.168.112.170;port;22;username;tvanwyk1;;
2642;192.168.113.122;port;22;username;tvanwyk1;;
1153;192.168.112.164;port;22;username;tvanwyk1;;
1262;192.168.112.23;port;22;username;tvanwyk1;;
4106;192.168.112.229;port;22;username;tvanwyk1;;
4078;192.168.113.61;port;22;username;tvanwyk1;;
1100;192.168.112.238;port;22;username;tvanwyk1;;
2713;192.168.113.123;port;22;username;tvanwyk1;;
2947;192.168.112.221;port;22;username;tvanwyk1;;
1234;192.168.113.3;port;22;username;tvanwyk1;;
2217;192.168.112.199;port;22;username;tvanwyk1;;
3002;192.168.112.225;port;22;username;tvanwyk1;;
1137;192.168.113.86;port;22;username;tvanwyk1;;
2221;192.168.112.45;port;22;username;tvanwyk1;;
